id,nombre,identidad,alias,inteligencia,fuerza,velocidad,poder,genero,raza,altura_mts,peso_kg,color_ojos,color_pelo,alineacion,empresa
252,Fallen One II,Desconocido,No Tiene,88,85,83,100,Masculino,-,0.0,0,Black,Blue,bad,Marvel Comics
253,Faora,Desconocido,Katie,88,95,75,98,Femenino,Kryptonian,0.0,0,-,-,bad,DC Comics
254,Feral,Desconocido,No Tiene,38,28,45,27,No-Binario,-,1.75,50,Yellow (without irises),Orange / White,good,Marvel Comics
256,Fin Fang Foom,Desconocido,He Whose Limbs Shatter Mountains and Whose Back Scrapes the Sun (translation),50,81,23,75,Masculino,Kakarantharaian,9.75,18000,Red,No Hair,good,Marvel Comics
257,Firebird,Desconocido,Pajaro Del Fuego,38,8,40,100,Femenino,-,1.65,56,Brown,Black,good,Marvel Comics
258,Firelord,Desconocido,Nova Centurion,38,63,75,52,No-Binario,-,1.93,99,White,Yellow,good,Marvel Comics
259,Firestar,Desconocido,Lady Comet,50,8,54,71,Femenino,Mutant,1.73,56,Green,Red,good,Marvel Comics
260,Firestorm,Desconocido,The Nuclear Man,50,53,58,100,Masculino,-,0.0,0,Brown,Black,good,DC Comics
261,Firestorm,Desconocido,Roy,38,80,58,100,Masculino,Human,1.88,91,Blue,Auburn,good,DC Comics
263,Flash,Desconocido,Jay Garrick,63,10,100,68,Masculino,Human,1.8,81,Blue,Brown / White,good,DC Comics
265,Flash II,Desconocido,the Monarch of Motion,88,48,100,100,Masculino,Black Racer,1.83,88,Blue,Blond,good,Black Racer
266,Flash III,Desconocido,The Scarlet Speedster; formerly,63,10,100,100,Masculino,Human,1.83,86,-,-,good,Speed Demon
267,Flash IV,Desconocido,Kid Flash II,63,10,100,100,Masculino,Human,1.57,52,Yellow,Auburn,good,Impulse
268,Forge,Desconocido,Cheyenne,63,10,12,25,No-Binario,-,1.83,81,Brown,Black,good,Marvel Comics
269,Franklin Richards,Desconocido,Ego-Spawn,63,80,50,100,Masculino,Mutant,1.42,45,Blue,Blond,good,Marvel Comics
270,Franklin Storm,Desconocido,Franklin Storm was erroneously believed to be the first Invincible Man,38,10,1,0,No-Binario,-,1.88,92,Blue,Grey,good,Marvel Comics
271,Frenzy,Desconocido,No Tiene,63,53,35,38,Femenino,-,2.11,104,Brown,Black,bad,Marvel Comics
273,Galactus,Desconocido,Maker,100,100,83,100,Masculino,Cosmic Entity,8.76,16000,Black,Black,neutral,Marvel Comics
274,Gambit,Desconocido,Le Diable Blanc,63,10,23,55,Masculino,Mutant,1.85,81,Red,Brown,good,Marvel Comics
275,Gamora,Desconocido,The Deadliest Woman In The Universe,75,85,42,53,Femenino,Zen-Whoberian,1.83,77,Yellow,Black,good,Marvel Comics
277,Gary Bell,Desconocido,No Tiene,63,5,8,54,Masculino,Alpha,0.0,0,-,-,good,SyFy
278,General Zod,Desconocido,Dru-Zod (possible first name),94,100,96,100,Masculino,Kryptonian,0.0,0,Black,Black,bad,DC Comics
280,Ghost Rider,Desconocido,No Tiene,50,55,25,100,Masculino,Demon,1.88,99,Red,No Hair,good,Marvel Comics
284,Giganta,Desconocido,No Tiene,81,89,23,32,Femenino,-,62.5,630,Green,Red,bad,DC Comics
285,Gladiator,Desconocido,Majestor,50,100,100,77,Masculino,Strontian,1.98,268,Blue,Blue,neutral,Marvel Comics
286,Goblin Queen,Desconocido,Maddie,75,10,23,65,Femenino,-,1.68,50,Green,Red,bad,Marvel Comics
287,Godzilla,Desconocido,Gigantis,44,100,54,100,No-Binario,Kaiju,108.0,90000000,-,-,bad,
288,Gog,Desconocido,Nephut-Sha,50,34,47,39,Masculino,-,0.0,0,-,-,bad,DC Comics
289,Goku,Desconocido,Son-Goku,56,100,75,100,Masculino,Saiyan,1.75,62,-,-,good,Shueisha
294,Gorilla Grodd,Desconocido,King Grodd,81,53,33,100,Masculino,Gorilla,1.98,270,Yellow,Black,bad,DC Comics
296,Gravity,Desconocido,Protector of the Universe,50,32,33,69,Masculino,Human,1.78,79,Blue,Brown,good,Marvel Comics
297,Greedo,Desconocido,No Tiene,38,10,13,31,Masculino,Rodian,1.7,0,Purple,-,bad,George Lucas
298,Green Arrow,Desconocido,Battling Bowman,81,12,35,39,Masculino,Human,1.88,88,Green,Blond,good,DC Comics
299,Green Goblin,Desconocido,Scrier,100,48,38,48,Masculino,Human,1.8,83,Blue,Auburn,bad,Marvel Comics
300,Green Goblin II,Desconocido,No Tiene,75,55,37,44,Masculino,-,1.78,77,Blue,Auburn,bad,Marvel Comics
303,Groot,Desconocido,The Monster from Planet X; His Divine Majesty King Groot the 23rd,75,85,33,100,Masculino,Flora Colossus,7.01,4000,Yellow,-,good,Marvel Comics
305,Guy Gardner,Desconocido,Green Lantern,38,90,53,100,Masculino,Human-Vuldarian,1.88,95,Blue,Red,good,DC Comics
306,Hal Jordan,Desconocido,Parallax,69,90,75,100,Masculino,Human,1.88,90,Brown,Brown,good,DC Comics
307,Han Solo,Desconocido,No Tiene,50,10,17,43,Masculino,Human,1.83,79,Brown,Brown,good,George Lucas
308,Hancock,Desconocido,No Tiene,63,90,67,100,Masculino,Human,1.88,0,Brown,Black,good,Sony Pictures
309,Harley Quinn,Desconocido,Elise Archer,88,12,33,55,Femenino,Human,1.7,63,Blue,Blond,bad,DC Comics
310,Harry Potter,Desconocido,Seeker,75,7,21,100,Masculino,Human,0.0,0,Green,Black,good,J. K. Rowling
311,Havok,Desconocido,Mutant X,63,10,25,71,Masculino,Mutant,1.83,79,Blue,Blond,good,Marvel Comics
312,Hawk,Desconocido,Monarch,38,38,35,43,Masculino,-,1.85,89,Red,Brown,good,DC Comics
